Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Active__c,Apex_Class__c,Batch_Size__c,Company__c,Days_Ahead__c,Description__c,Exception__c,ExtId__c,Facility__c,Frequency__c,Interval__c,Last_Run__c,Max_Records__c,Namespace__c,Next_Run__c,Preferred_Run_Hour__c,Process_Job_Next__c,Queueable_Id__c,Un_Scheduled__c
,,,Supplier Invoice Automation,,,,,,False,SupplierInvoiceAutomationBatch,25.0,a0g1I000000ue07QAA,,"Automation processing, invoke standard or custom code for automation",,&GAUjvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Supplier Invoice Validate Draft,,,,,,False,SupplierInvoiceDraftInspectBatch,25.0,a0g1I000000ue07QAA,,Matches receipt invoice lines to the corresponding receipt & PO lines,,&GAUkvZH000000I1A2a,,Hours,1.0,,,,,,,,False
,,,Supplier Invoice Validate Incomplete,,,,,,False,SupplierInvoiceIncompleteInspectBatch,25.0,a0g1I000000ue07QAA,,Validate supplier invoices which are in Incomplete status & move them to Draft status,,&GAUlvZH000000I1A2a,,Hours,1.0,,,,,,,,False
,,,Customer Inspect,,,,,,False,CustomerInspect,25.0,a0g1I000000ue07QAA,,Inspect Customer records,,&GAUmvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Consume Order Forecast,,,,,,False,ConsumeForecastBatch,25.0,a0g1I000000ue07QAA,,Consume Order Forecast,,&GAUnvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Update Lot Status,,,,,,False,LotUpdateStatusBatch,25.0,a0g1I000000ue07QAA,,Update Lot Status,,&GAUovZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Contract Netting,,,,,,False,ContractLineNettingBatch,25.0,a0g1I000000ue07QAA,,Recalculates the netting buckets on a contract line,,&GAUpvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Bank Transaction Group Accounting,,,,,,False,BankTransactionGroupAccountingBatch,25.0,a0g1I000000ue07QAA,,"Generates accounting entries for all Bank Transaction Group s, which are finalized but not yet accounted for, for the given company.",,&GAUqvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Recurring Journal Entries,,,,,,False,RecurringJournalEntryBatch,25.0,a0g1I000000ue07QAA,,"Generates journal entries from the recurring template, for the given company.",,&GAUrvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Accounting Code Validation,,,,,,True,AccountingCodeValidationBatch,25.0,a0g1I000000ue07QAA,,Validates the Accounting Codes for the given company.,,&GAUsvZH000000I1A2a,,Days,1.0,2017-11-13T18:07:00.000+0000,100.0,,2017-11-14T18:07:00.000+0000,,,7071I00000GGGNmQAP,False
,,,AccountingEntryLine Delete,,,,,,False,AccountingEntryLineDeleteBatch,25.0,a0g1I000000ue07QAA,,Deletes draft accounting which are a 24hr old and not held by accounting batches for the given company.,,&GAUtvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Hierarchy Path,,,,,,False,HierarchyPathBatch,18.0,a0g1I000000ue07QAA,,Generates proper Path values from the Hierarchy relationships,,&GAUuvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Erase All MRP Runs,,,,,,False,EraseAllMRPRuns,2000.0,a0g1I000000ue07QAA,,Erases all MRP records for MRP Runs with Completion Status Complete or Failure,,&GAUvvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Activate Proposed Costs,,,,,,False,ActivateProposedCostsBatch,200.0,a0g1I000000ue07QAA,,Activate proposed costs by company or facility,,&GAUwvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Customer Invoice Aging,,,,,,False,CustomerAgingBatch,200.0,a0g1I000000ue07QAA,,Provide Invoice againg for Bill To Customers,,&GAUxvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Delete Obsolete Accounting Entries,,,,,,False,AccountingDeleteObseleteEntriesBatch,200.0,a0g1I000000ue07QAA,,Deletes all accounting entries that are marked as Obsolete or are within a period that allow for Obsolete accounting entries to be deleted.,,&GAUyvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Customer Outstanding Balance,,,,,,False,CustomerOutstandingBalanceBatch,25.0,a0g1I000000ue07QAA,,Calculates Outstanding balance,,&GAUzvZH000000I1A2a,,Days,1.0,,,,,,,,False
,,,Sales Order Allocation,,,,,,False,SalesOrderAllocate,25.0,a0g1I000000ue07QAA,30.0,,,&GAU0wZH000000I1A2a,,,1.0,,,,,,,,False
