Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Accounting_Standard__c,Allocation_Type__c,Allocation__c,Amount_Reference__c,Autonumber__c,Company_Identifier__c,Company_Ledger__c,Company__c,Consolidation_Ledger__c,Default_GL_Account__c,Default_Intercompany__c,Effective_End_Date__c,Effective_Start_Date__c,Expected_Sign__c,ExtId__c,FX_Date_Path__c,FX_Flow__c,GL_Account_Identifier__c,GL_Account_Reference_Value__c,GL_Account__c,Intercompany_Reference_Value__c,Intercompany__c,Line_Type__c,Object_Name__c,Object__c,Raise_Exceptions_for_Blank_Amounts__c,Role__c,Rule_Type__c,Statutory_Ledger__c,SubTransaction_Type__c,Subsidiary_Ledger__c,Suppress_Zero_Amount_Lines__c,Transaction__c,Unique_Key__c
,,,AR-0000000845,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQ1wxJ000000I170a,,,,GL_Account__c,,,,,Journal_Entry__c,Journal Entry,False,,DR,False,,False,True,Manual,
,,,AR-0000000846,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQ2wxJ000000I170a,,,,GL_Account__c,,,,,Journal_Entry__c,Journal Entry,False,,CR,False,,False,True,Manual,
,,,AR-0000000877,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&SAQXwxJ000000I170a,,,,,a1I1I0000001kMZUAY,,,,Customer_Invoice__c,Customer Invoice,False,,DR,False,,False,False,Manual,
,,,AR-0000000878,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&SAQYwxJ000000I170a,,,,Accounting_Segment__r.GL_Account__c,,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,,False,False,Manual,
,,,AR-0000000923,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&SAQHxxJ000000I170a,,,,Accounting_Segment__r.GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Miscellaneous,False,False,Invoice,
,,,AR-0000000924,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&SAQIxxJ000000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Miscellaneous,False,False,Invoice,
,,,AR-0000001895,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ9ht9100000I170a,,,,GL_Account__c,,,,,Journal_Entry__c,Journal Entry,False,,DR,False,,False,True,Accrual - Manual,
,,,AR-0000001896,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQAht9100000I170a,,,,GL_Account__c,,,,,Journal_Entry__c,Journal Entry,False,,CR,False,,False,True,Accrual - Manual,
,,,AR-0000001897,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQBht9100000I170a,,,,GL_Account__c,,,,,Journal_Entry__c,Journal Entry,False,,DR,False,,False,True,Recurring Journal,
,,,AR-0000001898,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQCht9100000I170a,,,,GL_Account__c,,,,,Journal_Entry__c,Journal Entry,False,,CR,False,,False,True,Recurring Journal,
,,,AR-0000001899,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQDht9100000I170a,,,,,a1I1I0000001kMQUAY,,,,Journal_Entry__c,Journal Entry,False,,DR,False,Bank Interest Income,False,True,Bank Transaction,
,,,AR-0000001900,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQEht9100000I170a,,,,,a1I1I0000001kP2UAI,,,,Journal_Entry__c,Journal Entry,False,,CR,False,Bank Interest Income,False,True,Bank Transaction,
,,,AR-0000001901,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQFht9100000I170a,,,,,a1I1I0000001kOgUAI,,,,Journal_Entry__c,Journal Entry,False,,DR,False,Bank Fees,False,True,Bank Transaction,
,,,AR-0000001902,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQGht9100000I170a,,,,,a1I1I0000001kMQUAY,,,,Journal_Entry__c,Journal Entry,False,,CR,False,Bank Fees,False,True,Bank Transaction,
,,,AR-0000001903,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQHht9100000I170a,,,,,a1I1I0000001kMQUAY,,,,Journal_Entry__c,Journal Entry,False,,DR,False,Bank Adjustment - Positive,False,True,Bank Transaction,
,,,AR-0000001904,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQIht9100000I170a,,,,,a1I1I0000001kOwUAI,,,,Journal_Entry__c,Journal Entry,False,,CR,False,Bank Adjustment - Positive,False,True,Bank Transaction,
,,,AR-0000001905,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQJht9100000I170a,,,,,a1I1I0000001kMQUAY,,,,Journal_Entry__c,Journal Entry,False,,CR,False,Bank Adjustment - Negative,False,True,Bank Transaction,
,,,AR-0000001906,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQKht9100000I170a,,,,,a1I1I0000001kOwUAI,,,,Journal_Entry__c,Journal Entry,False,,DR,False,Bank Adjustment - Negative,False,True,Bank Transaction,
,,,AR-0000001907,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQLht9100000I170a,,,,,,,,,Journal_Entry__c,Journal Entry,False,,NA,False,Funds Transfer,False,True,Bank Transaction,
,,,AR-0000001908,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQMht9100000I170a,,,,GL_Account__c,,,,,Journal_Entry__c,Journal Entry,False,,DR,False,,False,True,Year End,
,,,AR-0000001909,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQNht9100000I170a,,,,GL_Account__c,,,,,Journal_Entry__c,Journal Entry,False,,CR,False,,False,True,Year End,
,,,AR-0000001910,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQOht9100000I170a,,,,GL_Account__c,,,,,Journal_Entry__c,Journal Entry,False,,DR,False,,False,True,UFX,
,,,AR-0000001911,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQPht9100000I170a,,,,GL_Account__c,,,,,Journal_Entry__c,Journal Entry,False,,CR,False,,False,True,UFX,
,,,AR-0000001482,,,,,,,,a081I0000001qJdQAI,,,Sales_Tax__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQKat9100000I170a,,,,,a1I1I0000001kNHUAY,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,Goods,False,False,RMA-Credit,
,,,AR-0000001483,,,,,,,,a081I0000001qJdQAI,,,Value_Added_Tax__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQLat9100000I170a,,,,,a1I1I0000001kNIUAY,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,Goods,False,False,RMA-Credit,
,,,AR-0000001486,,,,,,,,a081I0000001qJdQAI,Line,Discount,Allowance_Amount__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQOat9100000I170a,,,,,a1I1I0000001kNnUAI,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,Goods,False,False,RMA-Credit,
,,,AR-0000001487,,,,,,,,a081I0000001qJdQAI,,,Amount__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQPat9100000I170a,,,,,a1I1I0000001kMZUAY,,,,Customer_Invoice__c,Customer Invoice,False,,DR,False,Expense,False,False,RMA-Credit,
,,,AR-0000001489,,,,,,,,a081I0000001qJdQAI,,,Sales_Tax__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQRat9100000I170a,,,,,a1I1I0000001kNHUAY,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,Expense,False,False,RMA-Credit,
,,,AR-0000001490,,,,,,,,a081I0000001qJdQAI,,,Value_Added_Tax__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQSat9100000I170a,,,,,a1I1I0000001kNIUAY,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,Expense,False,False,RMA-Credit,
,,,AR-0000001493,,,,,,,,a081I0000001qJdQAI,Line,Discount,Allowance_Amount__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQVat9100000I170a,,,,,a1I1I0000001kNnUAI,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,Expense,False,False,RMA-Credit,
,,,AR-0000001494,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQWat9100000I170a,,,,,,,,,Customer_Invoice__c,Customer Invoice,False,,NA,False,,False,False,Overpayment,
,,,AR-0000001495,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQXat9100000I170a,,,,,,,,,Customer_Invoice__c,Customer Invoice,False,,NA,False,,False,False,Prepayment,
,,,AR-0000001496,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQYat9100000I170a,,,,,a1I1I0000001kMZUAY,,,,Customer_Invoice__c,Customer Invoice,False,,DR,False,Goods,False,False,Adjustment,
,,,AR-0000001497,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQZat9100000I170a,,,,Product__r.Item__r.Class__r.Revenue_GL_Account__c,,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,Goods,False,False,Adjustment,
,,,AR-0000001498,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQaat9100000I170a,,,,Customer_Invoice__r.Resolution_Code__r.GL_Account__c,,,,,Customer_Invoice__c,Customer Invoice,False,,DR,False,,False,False,Settlement,
,,,AR-0000001499,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQbat9100000I170a,,,,Customer_Invoice__r.Claim__r.AR_Reason_Code__r.GL_Account__c,,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,,False,False,Settlement,
,,,AR-0000001500,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQcat9100000I170a,,,,,a1I1I0000001kMZUAY,,,,Customer_Invoice__c,Customer Invoice,False,,DR,False,,False,False,Chargeback,
,,,AR-0000001501,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQdat9100000I170a,,,,Customer_Invoice__r.Claim__r.AR_Reason_Code__r.GL_Account__c,,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,,False,False,Chargeback,
,,,AR-0000001502,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQeat9100000I170a,,,,,a1I1I0000001kNGUAY,,,,Customer_Invoice__c,Customer Invoice,False,,DR,False,Goods,False,False,Allowance Accrual,
,,,AR-0000001503,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQfat9100000I170a,,,,Allowance_Applied__r.Allowance_Type__r.GL_Account__c,,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,Goods,False,False,Allowance Accrual,
,,,AR-0000001504,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQgat9100000I170a,,,,,a1I1I0000001kNGUAY,,,,Customer_Invoice__c,Customer Invoice,False,,DR,False,Expense,False,False,Allowance Accrual,
,,,AR-0000001505,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQhat9100000I170a,,,,Allowance_Applied__r.Allowance_Type__r.GL_Account__c,,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,Expense,False,False,Allowance Accrual,
,,,AR-0000001506,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQiat9100000I170a,,,,,a1I1I0000001kNGUAY,,,,Customer_Invoice__c,Customer Invoice,False,,DR,False,Miscellaneous,False,False,Allowance Accrual,
,,,AR-0000001507,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQjat9100000I170a,,,,Allowance_Applied__r.Allowance_Type__r.GL_Account__c,,,,,Customer_Invoice__c,Customer Invoice,False,,CR,False,Miscellaneous,False,False,Allowance Accrual,
,,,AR-0000001508,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQkat9100000I170a,,,,,a1I1I0000001kNEUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Goods - Purchase Order,False,False,Invoice,
,,,AR-0000001509,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQlat9100000I170a,,,,,a1I1I0000001kNqUAI,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Goods - Purchase Order,False,False,Invoice,
,,,AR-0000001510,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQmat9100000I170a,,,,,a1I1I0000001kNqUAI,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Goods - Purchase Order,False,False,Invoice,
,,,AR-0000001511,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQnat9100000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Goods - Purchase Order,False,False,Invoice,
,,,AR-0000001512,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQoat9100000I170a,,,,,a1I1I0000001kNEUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Expense - Purchase Order,False,False,Invoice,
,,,AR-0000001513,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQpat9100000I170a,,,,Item__r.Class__r.Expense_GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Expense - Purchase Order,False,False,Invoice,
,,,AR-0000001514,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQqat9100000I170a,,,,Item__r.Class__r.Expense_GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Expense - Purchase Order,False,False,Invoice,
,,,AR-0000001515,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQrat9100000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Expense - Purchase Order,False,False,Invoice,
,,,AR-0000001516,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQsat9100000I170a,,,,,a1I1I0000001kNEUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Miscellaneous - Purchase Order,False,False,Invoice,
,,,AR-0000001517,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQtat9100000I170a,,,,Purchase_Order_Line__r.Accounting_Segment__r.GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Miscellaneous - Purchase Order,False,False,Invoice,
,,,AR-0000001518,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQuat9100000I170a,,,,Purchase_Order_Line__r.Accounting_Segment__r.GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Miscellaneous - Purchase Order,False,False,Invoice,
,,,AR-0000001519,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQvat9100000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Miscellaneous - Purchase Order,False,False,Invoice,
,,,AR-0000001520,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQwat9100000I170a,,,,Item__r.Class__r.Expense_GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Expense,False,False,Invoice,
,,,AR-0000001521,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQxat9100000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Expense,False,False,Invoice,
,,,AR-0000001522,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQyat9100000I170a,,,,,a1I1I0000001kNEUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Expense - Purchase Order,False,False,Credit Memo,
,,,AR-0000001523,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQzat9100000I170a,,,,Item__r.Class__r.Expense_GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Expense - Purchase Order,False,False,Credit Memo,
,,,AR-0000001524,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ0bt9100000I170a,,,,Item__r.Class__r.Expense_GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Expense - Purchase Order,False,False,Credit Memo,
,,,AR-0000001525,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ1bt9100000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Expense - Purchase Order,False,False,Credit Memo,
,,,AR-0000001526,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ2bt9100000I170a,,,,,a1I1I0000001kNEUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Goods - Purchase Order,False,False,Credit Memo,
,,,AR-0000001527,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ3bt9100000I170a,,,,,a1I1I0000001kNqUAI,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Goods - Purchase Order,False,False,Credit Memo,
,,,AR-0000001528,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ4bt9100000I170a,,,,,a1I1I0000001kNqUAI,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Goods - Purchase Order,False,False,Credit Memo,
,,,AR-0000001529,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ5bt9100000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Goods - Purchase Order,False,False,Credit Memo,
,,,AR-0000001530,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ6bt9100000I170a,,,,,a1I1I0000001kNEUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Miscellaneous - Purchase Order,False,False,Credit Memo,
,,,AR-0000001531,,,,,,,,a081I0000001qJdQAI,,,Purchase_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ7bt9100000I170a,,,,Purchase_Order_Line__r.Accounting_Segment__r.GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Miscellaneous - Purchase Order,False,False,Credit Memo,
,,,AR-0000001532,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ8bt9100000I170a,,,,Accounting_Segment__r.GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Miscellaneous - Purchase Order,False,False,Credit Memo,
,,,AR-0000001533,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ9bt9100000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Miscellaneous - Purchase Order,False,False,Credit Memo,
,,,AR-0000001534,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQAbt9100000I170a,,,,Item__r.Class__r.Expense_GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Expense,False,False,Credit Memo,
,,,AR-0000001535,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQBbt9100000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Expense,False,False,Credit Memo,
,,,AR-0000001536,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQCbt9100000I170a,,,,Accounting_Segment__r.GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Miscellaneous,False,False,Credit Memo,
,,,AR-0000001537,,,,,,,,a081I0000001qJdQAI,,,Extended_Price__c,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&QAQDbt9100000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Miscellaneous,False,False,Credit Memo,
