Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,AP_Subledger_Closed__c,AP_Subledger_Cutoff__c,AP_Subledger_Job__c,AP_Subledger_Last_Run__c,AP_Subledger_job_Exception__c,AP_Valid_After__c,AR_Subledger_Closed__c,AR_Subledger_Cutoff__c,AR_Subledger_Job__c,AR_Subledger_Last_Run__c,AR_Subledger_job_Exception__c,AR_Valid_After__c,Adjustment_Period__c,Budget_Calculations_Complete__c,Closed__c,Company__c,Corporate__c,Delete_ObsoleteAEs__c,ExtId__c,FA_Subledger_Closed__c,FA_Subledger_Cutoff__c,FA_Subledger_Job__c,FA_Subledger_Last_Run__c,FA_Subledger_job_Exception__c,FA_Valid_After__c,FiscalYear__c,Fiscal_Year__c,Fiscal__c,GL_Close__c,InterCompany_Subledger_Closed__c,InterCompany_Subledger_Cutoff__c,InterCompany_Subledger_Job_Exception__c,InterCompany_Subledger_Job__c,InterCompany_Subledger_Last_Run__c,InterCompany_Valid_After__c,Inventory_Subledger_Closed__c,Inventory_Subledger_Cutoff__c,Inventory_Subledger_Job__c,Inventory_Subledger_Last_Run__c,Inventory_Subledger_job_Exception__c,Inventory_Valid_After__c,JE_Cutoff__c,JE_Subledger_Job__c,JE_Subledger_Last_Run__c,JE_Subledger_job_Exception__c,JE_Valid_After__c,Next_Period__c,Open__c,Period_Close_Job__c,Period_Closed__c,Period_End__c,Period_Number__c,Period_Start__c,Permanently_Closed__c,Primary_Key__c,Prior_Period__c,Quarter_Number__c,Receiving_Subledger_Closed__c,Receiving_Subledger_Cutoff__c,Receiving_Subledger_Job__c,Receiving_Subledger_Last_Run__c,Receiving_Subledger_job_Exception__c,Receiving_Valid_After__c,Shipment_Subledger_Closed__c,Shipment_Subledger_Cutoff__c,Shipment_Subledger_Job__c,Shipment_Subledger_Last_Run__c,Shipment_Subledger_job_Exception__c,Shipment_Valid_After__c,Tax__c,Type__c,Year_End_Date__c,Year_Start_Date__c
,,,17-08,,,,,,,,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,False,False,False,a0g1I0000005btWQAQ,False,False,&0AQGV7U000000I132a,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,a1D1I000000cHN9UAM,,True,,,2017-09-01T08:00:00.000+0000,False,,,2017-09-01T08:00:00.000+0000,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,,True,,,2017-09-01T08:00:00.000+0000,8.0,2017-08-01T08:00:00.000+0000,False,,,3.0,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,False,Fiscal,,
,,,17-12,,,,,,,,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,False,False,False,a0g1I0000005btWQAQ,False,False,&0AQKV7U000000I132a,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,a1D1I000000cHN9UAM,,True,,,2018-01-01T08:00:00.000+0000,False,,,2018-01-01T08:00:00.000+0000,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,,True,,,2018-01-01T08:00:00.000+0000,12.0,2017-12-01T08:00:00.000+0000,False,,,4.0,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,False,Fiscal,,
,,,17-13,,,,,,,,,,,,False,,,,,,False,,False,False,False,a0g1I0000005btWQAQ,False,False,&0AQLV7U000000I132a,,,,,False,,a1D1I000000cHN9UAM,,True,,,,False,,,,,,,,False,,,,,False,,,True,,,,13.0,,False,,,,,,,,False,,,,,,False,,False,Period 13,,
,,,17-13,,,,,,,,,,,,False,,,,,,False,,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQYV7U000000I132a,,,,,False,,a1D1I000000cHNAUA2,,True,,,,False,,,,,,,,False,,,,,False,,,True,,,,13.0,,False,,,,,,,,False,,,,,,False,,False,Period 13,,
,,,17-01,,,,,,,,,2017-02-01T08:00:00.000+0000,,,False,2017-02-01T08:00:00.000+0000,,2017-02-01T08:00:00.000+0000,,,False,2017-02-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQMV7U000000I132a,,2017-02-01T08:00:00.000+0000,,,False,2017-02-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-02-01T08:00:00.000+0000,False,,,2017-02-01T08:00:00.000+0000,,2017-02-01T08:00:00.000+0000,,,False,2017-02-01T08:00:00.000+0000,2017-02-01T08:00:00.000+0000,,,False,2017-02-01T08:00:00.000+0000,,True,,,2017-02-01T08:00:00.000+0000,1.0,2017-01-01T08:00:00.000+0000,False,,,1.0,,2017-02-01T08:00:00.000+0000,,,False,2017-02-01T08:00:00.000+0000,,2017-02-01T08:00:00.000+0000,,,False,2017-02-01T08:00:00.000+0000,False,Fiscal,,
,,,17-02,,,,,,,,,2017-03-01T08:00:00.000+0000,,,False,2017-03-01T08:00:00.000+0000,,2017-03-01T08:00:00.000+0000,,,False,2017-03-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQNV7U000000I132a,,2017-03-01T08:00:00.000+0000,,,False,2017-03-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-03-01T08:00:00.000+0000,False,,,2017-03-01T08:00:00.000+0000,,2017-03-01T08:00:00.000+0000,,,False,2017-03-01T08:00:00.000+0000,2017-03-01T08:00:00.000+0000,,,False,2017-03-01T08:00:00.000+0000,,True,,,2017-03-01T08:00:00.000+0000,2.0,2017-02-01T08:00:00.000+0000,False,,,1.0,,2017-03-01T08:00:00.000+0000,,,False,2017-03-01T08:00:00.000+0000,,2017-03-01T08:00:00.000+0000,,,False,2017-03-01T08:00:00.000+0000,False,Fiscal,,
,,,17-03,,,,,,,,,2017-04-01T08:00:00.000+0000,,,False,2017-04-01T08:00:00.000+0000,,2017-04-01T08:00:00.000+0000,,,False,2017-04-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQOV7U000000I132a,,2017-04-01T08:00:00.000+0000,,,False,2017-04-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-04-01T08:00:00.000+0000,False,,,2017-04-01T08:00:00.000+0000,,2017-04-01T08:00:00.000+0000,,,False,2017-04-01T08:00:00.000+0000,2017-04-01T08:00:00.000+0000,,,False,2017-04-01T08:00:00.000+0000,,True,,,2017-04-01T08:00:00.000+0000,3.0,2017-03-01T08:00:00.000+0000,False,,,1.0,,2017-04-01T08:00:00.000+0000,,,False,2017-04-01T08:00:00.000+0000,,2017-04-01T08:00:00.000+0000,,,False,2017-04-01T08:00:00.000+0000,False,Fiscal,,
,,,17-04,,,,,,,,,2017-05-01T08:00:00.000+0000,,,False,2017-05-01T08:00:00.000+0000,,2017-05-01T08:00:00.000+0000,,,False,2017-05-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQPV7U000000I132a,,2017-05-01T08:00:00.000+0000,,,False,2017-05-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-05-01T08:00:00.000+0000,False,,,2017-05-01T08:00:00.000+0000,,2017-05-01T08:00:00.000+0000,,,False,2017-05-01T08:00:00.000+0000,2017-05-01T08:00:00.000+0000,,,False,2017-05-01T08:00:00.000+0000,,True,,,2017-05-01T08:00:00.000+0000,4.0,2017-04-01T08:00:00.000+0000,False,,,2.0,,2017-05-01T08:00:00.000+0000,,,False,2017-05-01T08:00:00.000+0000,,2017-05-01T08:00:00.000+0000,,,False,2017-05-01T08:00:00.000+0000,False,Fiscal,,
,,,17-05,,,,,,,,,2017-06-01T08:00:00.000+0000,,,False,2017-06-01T08:00:00.000+0000,,2017-06-01T08:00:00.000+0000,,,False,2017-06-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQQV7U000000I132a,,2017-06-01T08:00:00.000+0000,,,False,2017-06-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-06-01T08:00:00.000+0000,False,,,2017-06-01T08:00:00.000+0000,,2017-06-01T08:00:00.000+0000,,,False,2017-06-01T08:00:00.000+0000,2017-06-01T08:00:00.000+0000,,,False,2017-06-01T08:00:00.000+0000,,True,,,2017-06-01T08:00:00.000+0000,5.0,2017-05-01T08:00:00.000+0000,False,,,2.0,,2017-06-01T08:00:00.000+0000,,,False,2017-06-01T08:00:00.000+0000,,2017-06-01T08:00:00.000+0000,,,False,2017-06-01T08:00:00.000+0000,False,Fiscal,,
,,,17-06,,,,,,,,,2017-07-01T08:00:00.000+0000,,,False,2017-07-01T08:00:00.000+0000,,2017-07-01T08:00:00.000+0000,,,False,2017-07-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQRV7U000000I132a,,2017-07-01T08:00:00.000+0000,,,False,2017-07-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-07-01T08:00:00.000+0000,False,,,2017-07-01T08:00:00.000+0000,,2017-07-01T08:00:00.000+0000,,,False,2017-07-01T08:00:00.000+0000,2017-07-01T08:00:00.000+0000,,,False,2017-07-01T08:00:00.000+0000,,True,,,2017-07-01T08:00:00.000+0000,6.0,2017-06-01T08:00:00.000+0000,False,,,2.0,,2017-07-01T08:00:00.000+0000,,,False,2017-07-01T08:00:00.000+0000,,2017-07-01T08:00:00.000+0000,,,False,2017-07-01T08:00:00.000+0000,False,Fiscal,,
,,,17-07,,,,,,,,,2017-08-01T08:00:00.000+0000,,,False,2017-08-01T08:00:00.000+0000,,2017-08-01T08:00:00.000+0000,,,False,2017-08-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQSV7U000000I132a,,2017-08-01T08:00:00.000+0000,,,False,2017-08-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-08-01T08:00:00.000+0000,False,,,2017-08-01T08:00:00.000+0000,,2017-08-01T08:00:00.000+0000,,,False,2017-08-01T08:00:00.000+0000,2017-08-01T08:00:00.000+0000,,,False,2017-08-01T08:00:00.000+0000,,True,,,2017-08-01T08:00:00.000+0000,7.0,2017-07-01T08:00:00.000+0000,False,,,3.0,,2017-08-01T08:00:00.000+0000,,,False,2017-08-01T08:00:00.000+0000,,2017-08-01T08:00:00.000+0000,,,False,2017-08-01T08:00:00.000+0000,False,Fiscal,,
,,,17-08,,,,,,,,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQTV7U000000I132a,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-09-01T08:00:00.000+0000,False,,,2017-09-01T08:00:00.000+0000,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,,True,,,2017-09-01T08:00:00.000+0000,8.0,2017-08-01T08:00:00.000+0000,False,,,3.0,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,,2017-09-01T08:00:00.000+0000,,,False,2017-09-01T08:00:00.000+0000,False,Fiscal,,
,,,17-09,,,,,,,,,2017-10-01T08:00:00.000+0000,,,False,2017-10-01T08:00:00.000+0000,,2017-10-01T08:00:00.000+0000,,,False,2017-10-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQUV7U000000I132a,,2017-10-01T08:00:00.000+0000,,,False,2017-10-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-10-01T08:00:00.000+0000,False,,,2017-10-01T08:00:00.000+0000,,2017-10-01T08:00:00.000+0000,,,False,2017-10-01T08:00:00.000+0000,2017-10-01T08:00:00.000+0000,,,False,2017-10-01T08:00:00.000+0000,,True,,,2017-10-01T08:00:00.000+0000,9.0,2017-09-01T08:00:00.000+0000,False,,,3.0,,2017-10-01T08:00:00.000+0000,,,False,2017-10-01T08:00:00.000+0000,,2017-10-01T08:00:00.000+0000,,,False,2017-10-01T08:00:00.000+0000,False,Fiscal,,
,,,17-10,,,,,,,,,2017-11-01T08:00:00.000+0000,,,False,2017-11-01T08:00:00.000+0000,,2017-11-01T08:00:00.000+0000,,,False,2017-11-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQVV7U000000I132a,,2017-11-01T08:00:00.000+0000,,,False,2017-11-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-11-01T08:00:00.000+0000,False,,,2017-11-01T08:00:00.000+0000,,2017-11-01T08:00:00.000+0000,,,False,2017-11-01T08:00:00.000+0000,2017-11-01T08:00:00.000+0000,,,False,2017-11-01T08:00:00.000+0000,,True,,,2017-11-01T08:00:00.000+0000,10.0,2017-10-01T08:00:00.000+0000,False,,,4.0,,2017-11-01T08:00:00.000+0000,,,False,2017-11-01T08:00:00.000+0000,,2017-11-01T08:00:00.000+0000,,,False,2017-11-01T08:00:00.000+0000,False,Fiscal,,
,,,17-11,,,,,,,,,2017-12-01T08:00:00.000+0000,,,False,2017-12-01T08:00:00.000+0000,,2017-12-01T08:00:00.000+0000,,,False,2017-12-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQWV7U000000I132a,,2017-12-01T08:00:00.000+0000,,,False,2017-12-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2017-12-01T08:00:00.000+0000,False,,,2017-12-01T08:00:00.000+0000,,2017-12-01T08:00:00.000+0000,,,False,2017-12-01T08:00:00.000+0000,2017-12-01T08:00:00.000+0000,,,False,2017-12-01T08:00:00.000+0000,,True,,,2017-12-01T08:00:00.000+0000,11.0,2017-11-01T08:00:00.000+0000,False,,,4.0,,2017-12-01T08:00:00.000+0000,,,False,2017-12-01T08:00:00.000+0000,,2017-12-01T08:00:00.000+0000,,,False,2017-12-01T08:00:00.000+0000,False,Fiscal,,
,,,17-12,,,,,,,,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,False,False,False,a0g1I0000005btXQAQ,False,False,&0AQXV7U000000I132a,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,a1D1I000000cHNAUA2,,True,,,2018-01-01T08:00:00.000+0000,False,,,2018-01-01T08:00:00.000+0000,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,,True,,,2018-01-01T08:00:00.000+0000,12.0,2017-12-01T08:00:00.000+0000,False,,,4.0,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,,2018-01-01T08:00:00.000+0000,,,False,2018-01-01T08:00:00.000+0000,False,Fiscal,,
