sObject,extID,name,src_ID,dest_ID
Process_Job__C,&GAUkvZH000000I1A2a,Supplier Invoice Validate Draft,a2A1I000000HZvkUAG,a2A1I000000VHm9UAG
Process_Job__C,&GAUlvZH000000I1A2a,Supplier Invoice Validate Incomplete,a2A1I000000HZvlUAG,a2A1I000000VHmAUAW
Process_Job__C,&GAUmvZH000000I1A2a,Customer Inspect,a2A1I000000HZvmUAG,a2A1I000000VHmBUAW
Process_Job__C,&GAUnvZH000000I1A2a,Consume Order Forecast,a2A1I000000HZvnUAG,a2A1I000000VHmCUAW
Process_Job__C,&GAUovZH000000I1A2a,Update Lot Status,a2A1I000000HZvoUAG,a2A1I000000VHmDUAW
Process_Job__C,&GAUpvZH000000I1A2a,Contract Netting,a2A1I000000HZvpUAG,a2A1I000000VHmEUAW
Process_Job__C,&GAUqvZH000000I1A2a,Bank Transaction Group Accounting,a2A1I000000HZvqUAG,a2A1I000000VHmFUAW
Process_Job__C,&GAUrvZH000000I1A2a,Recurring Journal Entries,a2A1I000000HZvrUAG,a2A1I000000VHmGUAW
Process_Job__C,&GAUsvZH000000I1A2a,Accounting Code Validation,a2A1I000000HZvsUAG,a2A1I000000VHmHUAW
Process_Job__C,&GAUtvZH000000I1A2a,AccountingEntryLine Delete,a2A1I000000HZvtUAG,a2A1I000000VHmIUAW
Process_Job__C,&GAUuvZH000000I1A2a,Hierarchy Path,a2A1I000000HZvuUAG,a2A1I000000VHmJUAW
Process_Job__C,&GAUvvZH000000I1A2a,Erase All MRP Runs,a2A1I000000HZvvUAG,a2A1I000000VHmKUAW
Process_Job__C,&GAUwvZH000000I1A2a,Activate Proposed Costs,a2A1I000000HZvwUAG,a2A1I000000VHmLUAW
Process_Job__C,&GAUxvZH000000I1A2a,Customer Invoice Aging,a2A1I000000HZvxUAG,a2A1I000000VHmMUAW
Process_Job__C,&GAUyvZH000000I1A2a,Delete Obsolete Accounting Entries,a2A1I000000HZvyUAG,a2A1I000000VHmNUAW
Process_Job__C,&GAUzvZH000000I1A2a,Customer Outstanding Balance,a2A1I000000HZvzUAG,a2A1I000000VHmOUAW
Process_Job__C,&GAU0wZH000000I1A2a,Sales Order Allocation,a2A1I000000HZw0UAG,a2A1I000000VHmPUAW
Work_Center_Resource__c,&YAUCM0c000000I1B3a,WCResource A-1,a3B1I000000c0MCUAY,a3B1I000000U4qvUAC
Work_Center_Resource__c,&YAUHM0c000000I1B3a,WCResource A-2,a3B1I000000c0MHUAY,a3B1I000000U4qwUAC
Resource__c,&SAUMgkA000000I1T2a,R-1,a2T1I000000AkgMUAS,a2T1I000000OJBrUAO
Resource__c,&SAUWgkA000000I1T2a,R-3,a2T1I000000AkgWUAS,a2T1I000000OJBsUAO
Resource__c,&SAURgkA000000I1T2a,R-2,a2T1I000000AkgRUAS,a2T1I000000OJBtUAO
Work_Center__c,&SAURksT000000I1C3a,Assembly 3,a3C1I000000TskRUAS,a3C1I00000011qiUAA
Work_Center__c,&SAUMksT000000I1C3a,Assembly 2,a3C1I000000TskMUAS,a3C1I00000011qjUAA
Work_Center__c,&SAUHksT000000I1C3a,Assembly 1,a3C1I000000TskHUAS,a3C1I00000011qkUAA
Routing__c,&UAUZaG9000000I1V2a,RT-0000000001,a2V1I0000009GaZUAU,a2V1I000000ZwxHUAS
Routing__c,&EAUeaG9000000I1V2a,RT-0000000002,a2V1I0000009GaeUAE,a1w1I000000NtQ1QAKUeaG9000000I1V2a
Supplier__c,&MAQ9SJ9000000I103a,Beach Parts,a301I0000009JS9QAM,a301I000000ZTCBQA4
Supplier__c,&EAQ8pE9000000I103a,Sport and Toy World,a301I0000009Ep8QAE,a1w1I000000NtQ1QAKQ8pE9000000I103a
Supplier__c,&MAQ4SJ9000000I103a,Beach Parts,a301I0000009JS4QAM,a301I000000ZTCAQA4
Package_Class__c,&EA,EA,a1w1I000000Ay5pQAC,a1w1I000000NtQ1QAK
Package_Class__c,&CS Pkg Class,CS Pkg Class,a1w1I000000B5OQQA0,a1w1I000000NtPwQAK
Package_Class__c,&CS,CS,a1w1I000000Ay5uQAC,a1w1I000000NtPxQAK
Package_Class__c,&EA Pkg Class,EA Pkg Class,a1w1I000000B5OaQAK,a1w1I000000NtQ1QAK Pkg Class
Package_Class__c,&PT Pkg Class,PT Pkg Class,a1w1I000000B5OLQA0,a1w1I000000NtQRQA0
Package_Class__c,&PT,PT,a1w1I000000Ay5kQAC,a1w1I000000NtQSQA0
Credit_Profile_Rules__c,&QAQGfby100000I1m0a,Standard,a0m1I000001ybfGQAQ,a0m1I000001XAhSQAW
Invoice_Grouping_Rule__c,&CAU5q7T000000I1O1a,IGR-0000000000,a1O1I000000T7q5UAC,a1O1I00000030IsUAI
Customer__c,&CAQhvvA000000I1z0a,Diamond ShipTo,a0z1I000000AvvhQAC,a0z1I000001IN7bQAG
Customer__c,&CAQrk9B000000I1z0a,Bravo Touring,a0z1I000000B9krQAC,a0z1I000001IN7cQAG
Customer__c,&CAQgvvA000000I1z0a,Diamond SoldTo,a0z1I000000AvvgQAC,a0z1I000001IN7ZQAW
Customer__c,&CAQqk9B000000I1z0a,Bravo Touring,a0z1I000000B9kqQAC,a0z1I000001IN7aQAG
Customer__c,&CAQfvvA000000I1z0a,Diamond BillTo,a0z1I000000AvvfQAC,a0z1I000001IN7UQAW
Customer__c,&CAQpk9B000000I1z0a,Bravo Touring,a0z1I000000B9kpQAC,a0z1I000001IN7VQAW
Customer__c,&CAQjk9B000000I1z0a,BikeSource Colorado,a0z1I000000B9kjQAC,a0z1I000001IN7WQAW
Customer__c,&CAQevvA000000I1z0a,Diamond Corp,a0z1I000000AvveQAC,a0z1I000001IN7PQAW
Customer__c,&CAQok9B000000I1z0a,Bravo Touring,a0z1I000000B9koQAC,a0z1I000001IN7QQAW
Customer__c,&CAQek9B000000I1z0a,BikeSource,a0z1I000000B9keQAC,a0z1I000001IN7RQAW
Component__c,&AAQway5000000I1h0a,CP-0000000002,a0h1I0000005yawQAA,a0h1I000000wOI0QAM
Component__c,&AAQxay5000000I1h0a,CP-0000000003,a0h1I0000005yaxQAA,a0h1I000000wOI1QAM
Component__c,&AAQyay5000000I1h0a,CP-0000000004,a0h1I0000005yayQAA,a0h1I000000wOI2QAM
Component__c,&AAQray5000000I1h0a,CP-0000000001,a0h1I0000005yarQAA,a0h1I000000wOI3QAM
Bank_Account__c,&GAU9eAA000000I1O0a,Goliath National Bank,a0O1I000000AAe9UAG,a0O1I0000011mXjUAI
Allowance_Rule__c,&OAU3FUR200000I1H0a,Std-2% discount,a0H1I000002RUF3UAO,a0H1I000002Nkm7UAC
Allowance_Type__c,&2AUQLUs000000I1I0a,2% discount,a0I1I000000sULQUA2,a0I1I000001Ja71UAC
Product__c,&EAUbmM9000000I1E2a,Shaded Beach Chair,a2E1I0000009MmbUAE,a2E1I000000RB65UAG
Product__c,&EAU4cP9000000I1E2a,MISC,a2E1I0000009Pc4UAE,a2E1I000000RB66UAG
Product__c,&AAUacu9000000I1E2a,Annual Contract,a2E1I0000009ucaUAA,a2E1I000000RB67UAG
Item_Specification__c,&AAUblm5000000I1U1a,Beach Chair with Umbrella,a1U1I0000005mlbUAA,a1U1I000000KhVXUA0
Item__c,&EAUjnO7000000I1V1a,PT Container,a1V1I0000007OnjUAE,a1V1I000000Kp1ZUAS
Item__c,&EAUonO7000000I1V1a,Case Container,a1V1I0000007OnoUAE,a1w1I000000NtQ1QAKUonO7000000I1V1a
Item__c,&YAUVWo5000000I1V1a,Miscellaneous purchase,a1V1I0000005oWVUAY,a1V1I000000KE18UAG
Item__c,&EAUieW5000000I1V1a,Beach Chair with Umbrella,a1V1I0000005WeiUAE,a1V1I000000KE1iUAG
Item__c,&EAUseW5000000I1V1a,Seat fabric,a1V1I0000005WesUAE,a1V1I000000KE1jUAG
Item__c,&EAU2fW5000000I1V1a,Beach chair fasteners,a1V1I0000005Wf2UAE,a1V1I000000KE1kUAG
Item__c,&EAUneW5000000I1V1a,Beach chair slats,a1V1I0000005WenUAE,a1V1I000000KE1lUAG
Item__c,&EAUxeW5000000I1V1a,Umbrella Small,a1V1I0000005WexUAE,a1V1I000000KE1mUAG
Item__c,&IAUfEk5000000I1V1a,MISC,a1V1I0000005kEfUAI,a1V1I000000KE1nUAG
Item__c,&EAUqqW6000000I1V1a,Annual Contract,a1V1I0000006WqqUAE,a1V1I000000KE1oUAG
Class__c,&2AQIZHp000000I1e0a,Miscellaneous Purchase,a0e1I000000pHZIQA2,a0e1I000001GZIEQA4
Class__c,&2AQVVSq000000I1e0a,Annual Contract,a0e1I000000qSVVQA2,a0e1I000001GZIFQA4
Stock_Movement_Rule__c,&GAQ0lHM000000I1m2a,SO-Pick,a2m1I000000MHl0QAG,a2m1I0000005iSHQAY
Stock_Movement_Rule_Settings__c,&OAQsAHQ000000I1l2a,Purchase Order-Class__c,a2l1I000000QHAsQAO,a2l1I000000aJDrQAM
Stock_Movement_Rule_Settings__c,&OAQtAHQ000000I1l2a,Purchase Order-Company__c,a2l1I000000QHAtQAO,a2l1I000000aJDsQAM
Stock_Movement_Rule_Settings__c,&OAQuAHQ000000I1l2a,Purchase Order-Facility__c,a2l1I000000QHAuQAO,a2l1I000000aJDtQAM
Stock_Movement_Rule_Settings__c,&OAQvAHQ000000I1l2a,Purchase Order-Item__c,a2l1I000000QHAvQAO,a2l1I000000aJDuQAM
Stock_Movement_Rule_Settings__c,&OAQwAHQ000000I1l2a,Work Order-Class__c,a2l1I000000QHAwQAO,a2l1I000000aJDvQAM
Stock_Movement_Rule_Settings__c,&OAQxAHQ000000I1l2a,Work Order-Company__c,a2l1I000000QHAxQAO,a2l1I000000aJDwQAM
Stock_Movement_Rule_Settings__c,&OAQyAHQ000000I1l2a,Work Order-Facility__c,a2l1I000000QHAyQAO,a2l1I000000aJDxQAM
Stock_Movement_Rule_Settings__c,&OAQzAHQ000000I1l2a,Work Order-Item__c,a2l1I000000QHAzQAO,a2l1I000000aJDyQAM
Stock_Movement_Rule_Settings__c,&OAQ0BHQ000000I1l2a,Transfer Order-Company__c,a2l1I000000QHB0QAO,a2l1I000000aJDzQAM
Stock_Movement_Rule_Settings__c,&OAQ1BHQ000000I1l2a,Transfer Order-Facility__c,a2l1I000000QHB1QAO,a2l1I000000aJE0QAM
Stock_Movement_Rule_Settings__c,&OAQ2BHQ000000I1l2a,Sales Order-Facility__c,a2l1I000000QHB2QAO,a2l1I000000aJE1QAM
Stock_Movement_Rule_Settings__c,&OAQ3BHQ000000I1l2a,Sales Order-Company__c,a2l1I000000QHB3QAO,a2l1I000000aJE2QAM
Stock_Movement_Rule_Settings__c,&OAQ4BHQ000000I1l2a,Transfer Order-Item__c,a2l1I000000QHB4QAO,a2l1I000000aJE3QAM
Stock_Movement_Rule_Settings__c,&OAQ5BHQ000000I1l2a,Receiving Document-Class__c,a2l1I000000QHB5QAO,a2l1I000000aJE4QAM
Stock_Movement_Rule_Settings__c,&OAQ6BHQ000000I1l2a,Receiving Document-Company__c,a2l1I000000QHB6QAO,a2l1I000000aJE5QAM
Stock_Movement_Rule_Settings__c,&OAQ7BHQ000000I1l2a,Receiving Document-Facility__c,a2l1I000000QHB7QAO,a2l1I000000aJE6QAM
Stock_Movement_Rule_Settings__c,&OAQ8BHQ000000I1l2a,Receiving Document-Item__c,a2l1I000000QHB8QAO,a2l1I000000aJE7QAM
Bin__c,&CAUgcfD000000I1S0a,BEAPART 3,a0S1I000000DfcgUAC,a0S1I000000eoLfUAI
Bin__c,&CAUlcfD000000I1S0a,BEAPART 4,a0S1I000000DfclUAC,a0S1I000000eoLgUAI
Bin__c,&SAURcfD000000I1S0a,BEAPART 1,a0S1I000000DfcRUAS,a0S1I000000eoLhUAI
Bin__c,&SAUMcfD000000I1S0a,BEA1,a0S1I000000DfcMUAS,a0S1I000000eoLiUAI
Bin__c,&CAUbcfD000000I1S0a,BEAPART 2,a0S1I000000DfcbUAC,a0S1I000000eoLjUAI
Bin__c,&SAUWcfD000000I1S0a,FAST 1,a0S1I000000DfcWUAS,a0S1I000000eoLkUAI
Location__c,&GAQtxDU000000I1d1a,PO Receiving CA,a1d1I000000UDxtQAG,a1d1I0000002FlTQAU
Location__c,&GAQuxDU000000I1d1a,FG Stock CA,a1d1I000000UDxuQAG,a1d1I0000002FlUQAU
Location__c,&GAQvxDU000000I1d1a,Shipping Dock CA,a1d1I000000UDxvQAG,a1d1I0000002FlVQAU
Location__c,&GAQwxDU000000I1d1a,Quarantine / Inspection CA,a1d1I000000UDxwQAG,a1d1I0000002FlWQAU
Facility__c,&QAQF7o5000000I181a,KNDY-CA,a181I0000005o7FQAQ,a181I000000GYsuQAG
Facility__c,&QAQG7o5000000I181a,KNDY-NJ,a181I0000005o7GQAQ,a181I000000GYsvQAG
Facility__c,&QAQH7o5000000I181a,KNDY-SC,a181I0000005o7HQAQ,a181I000000GYswQAG
Facility__c,&QAQI7o5000000I181a,KNDY-TX,a181I0000005o7IQAQ,a181I000000GYsxQAG
Facility__c,&QAQJ7o5000000I181a,KNDY-HQ,a181I0000005o7JQAQ,a181I000000GYsyQAG
UOM__c,&KAQbY9H000000I193a,EA,a391I000000H9YbQAK,a391I000000AOnLQAW
UOM__c,&KAQcY9H000000I193a,CS,a391I000000H9YcQAK,a391I000000AOnMQAW
UOM__c,&KAQdY9H000000I193a,PT,a391I000000H9YdQAK,a391I000000AOnNQAW
UOM__c,&KAQeY9H000000I193a,BX,a391I000000H9YeQAK,a391I000000AOnOQAW
UOM__c,&KAQfY9H000000I193a,PK,a391I000000H9YfQAK,a391I000000AOnPQAW
UOM__c,&KAQgY9H000000I193a,DZ,a391I000000H9YgQAK,a391I000000AOnQQAW
UOM__c,&KAQhY9H000000I193a,LB,a391I000000H9YhQAK,a391I000000AOnRQAW
Reason_Code__c,&OAU3VCJ000000I1H2a,Claim repayment,a2H1I000000JCV3UAO,a2H1I0000006qy3UAA
Reason_Code__c,&GAUsjDI000000I1H2a,Write off claim,a2H1I000000IDjsUAG,a2H1I0000006qy4UAA
Reason_Code__c,&0AUWY6I000000I1H2a,Cycle Count,a2H1I000000I6YWUA0,a2H1I0000006qy5UAA
Reason_Code__c,&CAU3z5I000000I1H2a,Short Payment,a2H1I000000I5z3UAC,a2H1I0000006qy6UAA
Reason_Code__c,&CAUjy5I000000I1H2a,Courtesy Discount,a2H1I000000I5yjUAC,a2H1I0000006qy7UAA
Payment_Method__c,&KAQbU2J000000I1z1a,Card XXXX1881/11-2019,a1z1I000000J2UbQAK,a1z1I0000007ffTQAQ
Payment_Method__c,&0AQWU2J000000I1z1a,Card XXXX1111,a1z1I000000J2UWQA0,a1z1I0000007ffUQAQ
Payment_Method__c,&KAQgU2J000000I1z1a,Card XXXX4444/09-2020,a1z1I000000J2UgQAK,a1z1I0000007ffVQAQ
Payment_Profile__c,&WAQHxKD000000I102a,Bravo Touring Authorize.net,a201I000000DKxHQAW,a201I0000001eXiQAI
Payment_Profile__c,&WAQMxKD000000I102a,BikeSource Colorado Authorize.net,a201I000000DKxMQAW,a201I0000001eXjQAI
Payment_Term__c,&CAQa1yU000000I112a,Net 15,a211I000000Uy1aQAC,a211I0000008011QAA
Payment_Term__c,&CAQb1yU000000I112a,2/10 Net 30,a211I000000Uy1bQAC,a211I0000008012QAA
Payment_Term__c,&CAQc1yU000000I112a,Net 25th,a211I000000Uy1cQAC,a211I0000008013QAA
FOB_Terms__c,&IAQwSx1000000I151a,FOB ORIGIN,a151I0000001xSwQAI,a151I000001ANi7QAG
FOB_Terms__c,&IAQvSx1000000I151a,FOB DESTINATION,a151I0000001xSvQAI,a151I000001ANi8QAG
Segment_Validation__c,&OAQnYDQ000000I1a2a,SV-0000000000,a2a1I000000QDYnQAO,a2a1I000000b9YPQAY
Segment_Validation__c,&OAQoYDQ000000I1a2a,SV-0000000001,a2a1I000000QDYoQAO,a2a1I000000b9YQQAY
Segment_Validation__c,&OAQpYDQ000000I1a2a,SV-0000000002,a2a1I000000QDYpQAO,a2a1I000000b9YRQAY
Segment_Definition__c,&0AUVUnP000000I1Z2a,Company__c,a2Z1I000000PnUVUA0,a2Z1I000000ZxkoUAC
Segment_Definition__c,&0AUWUnP000000I1Z2a,GL_Account__c,a2Z1I000000PnUWUA0,a2Z1I000000ZxkpUAC
Segment_Definition__c,&0AUXUnP000000I1Z2a,Intercompany__c,a2Z1I000000PnUXUA0,a2Z1I000000ZxkqUAC
Accounting_Default_Segment_Definition__c,&WAQF3ET100000I130a,Company__c,a031I000001TE3FQAW,a031I00000EoFQdQAN
Accounting_Default_Segment_Definition__c,&WAQG3ET100000I130a,GL_Account__c,a031I000001TE3GQAW,a031I00000EoFQeQAN
Accounting_Default_Segment_Definition__c,&WAQH3ET100000I130a,Intercompany__c,a031I000001TE3HQAW,a031I00000EoFQfQAN
Period__c,&KAQ9V7U000000I132a,17-01,a231I000000U7V9QAK,a231I0000006RgDQAU
Period__c,&0AQAV7U000000I132a,17-02,a231I000000U7VAQA0,a231I0000006RgEQAU
Period__c,&0AQBV7U000000I132a,17-03,a231I000000U7VBQA0,a231I0000006RgFQAU
Period__c,&0AQCV7U000000I132a,17-04,a231I000000U7VCQA0,a231I0000006RgGQAU
Period__c,&0AQHV7U000000I132a,17-09,a231I000000U7VHQA0,a231I0000006RgHQAU
Period__c,&0AQIV7U000000I132a,17-10,a231I000000U7VIQA0,a231I0000006RgIQAU
Period__c,&0AQJV7U000000I132a,17-11,a231I000000U7VJQA0,a231I0000006RgJQAU
Period__c,&0AQDV7U000000I132a,17-05,a231I000000U7VDQA0,a231I0000006RgKQAU
Period__c,&0AQEV7U000000I132a,17-06,a231I000000U7VEQA0,a231I0000006RgLQAU
Period__c,&0AQFV7U000000I132a,17-07,a231I000000U7VFQA0,a231I0000006RgMQAU
Period__c,&0AQGV7U000000I132a,17-08,a231I000000U7VGQA0,a231I0000006RgNQAU
Period__c,&0AQKV7U000000I132a,17-12,a231I000000U7VKQA0,a231I0000006RgOQAU
Period__c,&0AQLV7U000000I132a,17-13,a231I000000U7VLQA0,a231I0000006RgPQAU
Period__c,&0AQYV7U000000I132a,17-13,a231I000000U7VYQA0,a231I0000006RgQQAU
Period__c,&0AQMV7U000000I132a,17-01,a231I000000U7VMQA0,a231I0000006RgRQAU
Period__c,&0AQNV7U000000I132a,17-02,a231I000000U7VNQA0,a231I0000006RgSQAU
Period__c,&0AQOV7U000000I132a,17-03,a231I000000U7VOQA0,a231I0000006RgTQAU
Period__c,&0AQPV7U000000I132a,17-04,a231I000000U7VPQA0,a231I0000006RgUQAU
Period__c,&0AQQV7U000000I132a,17-05,a231I000000U7VQQA0,a231I0000006RgVQAU
Period__c,&0AQRV7U000000I132a,17-06,a231I000000U7VRQA0,a231I0000006RgWQAU
Period__c,&0AQSV7U000000I132a,17-07,a231I000000U7VSQA0,a231I0000006RgXQAU
Period__c,&0AQTV7U000000I132a,17-08,a231I000000U7VTQA0,a231I0000006RgYQAU
Period__c,&0AQUV7U000000I132a,17-09,a231I000000U7VUQA0,a231I0000006RgZQAU
Period__c,&0AQVV7U000000I132a,17-10,a231I000000U7VVQA0,a231I0000006RgaQAE
Period__c,&0AQWV7U000000I132a,17-11,a231I000000U7VWQA0,a231I0000006RgbQAE
Period__c,&0AQXV7U000000I132a,17-12,a231I000000U7VXQA0,a231I0000006RgcQAE
Fiscal_Year__c,&MAU9NHc000000I1D1a,FY-2017,a1D1I000000cHN9UAM,a1D1I00000020lEUAQ
Fiscal_Year__c,&2AUANHc000000I1D1a,FY-2017,a1D1I000000cHNAUA2,a1D1I00000020lFUAQ
Accounting_Rule__c,&CAQyv7B100000I170a,AR-0000001913,a071I000001B7vyQAC,a071I000001oKxpQAE
Accounting_Rule__c,&CAQtv7B100000I170a,AR-0000001912,a071I000001B7vtQAC,a071I000001oKxqQAE
Accounting_Rule__c,&CAQzxxJ000000I170a,AR-0000000967,a071I000000JxxzQAC,a071I000001oKxrQAE
Accounting_Rule__c,&CAQ0yxJ000000I170a,AR-0000000968,a071I000000Jxy0QAC,a071I000001oKxsQAE
Accounting_Rule__c,&CAQ7yxJ000000I170a,AR-0000000975,a071I000000Jxy7QAC,a071I000001oKxtQAE
Accounting_Rule__c,&CAQ8yxJ000000I170a,AR-0000000976,a071I000000Jxy8QAC,a071I000001oKxuQAE
Accounting_Rule__c,&CAQ9yxJ000000I170a,AR-0000000977,a071I000000Jxy9QAC,a071I000001oKxvQAE
Accounting_Rule__c,&SAQAyxJ000000I170a,AR-0000000978,a071I000000JxyAQAS,a071I000001oKxwQAE
Accounting_Rule__c,&CAQryxJ000000I170a,AR-0000001021,a071I000000JxyrQAC,a071I000001oKxxQAE
Accounting_Rule__c,&CAQsyxJ000000I170a,AR-0000001022,a071I000000JxysQAC,a071I000001oKxyQAE
Accounting_Rule__c,&CAQ1wxJ000000I170a,AR-0000000845,a071I000000Jxw1QAC,a071I000001oKxzQAE
Accounting_Rule__c,&CAQ2wxJ000000I170a,AR-0000000846,a071I000000Jxw2QAC,a071I000001oKy0QAE
Accounting_Rule__c,&SAQXwxJ000000I170a,AR-0000000877,a071I000000JxwXQAS,a071I000001oKy1QAE
Accounting_Rule__c,&SAQYwxJ000000I170a,AR-0000000878,a071I000000JxwYQAS,a071I000001oKy2QAE
Accounting_Rule__c,&SAQHxxJ000000I170a,AR-0000000923,a071I000000JxxHQAS,a071I000001oKy3QAE
Accounting_Rule__c,&SAQIxxJ000000I170a,AR-0000000924,a071I000000JxxIQAS,a071I000001oKy4QAE
Accounting_Rule__c,&AAQ9ht9100000I170a,AR-0000001895,a071I0000019th9QAA,a071I000001oKy5QAE
Accounting_Rule__c,&QAQAht9100000I170a,AR-0000001896,a071I0000019thAQAQ,a071I000001oKy6QAE
Accounting_Rule__c,&QAQBht9100000I170a,AR-0000001897,a071I0000019thBQAQ,a071I000001oKy7QAE
Accounting_Rule__c,&QAQCht9100000I170a,AR-0000001898,a071I0000019thCQAQ,a071I000001oKy8QAE
Accounting_Rule__c,&QAQDht9100000I170a,AR-0000001899,a071I0000019thDQAQ,a071I000001oKy9QAE
Accounting_Rule__c,&QAQEht9100000I170a,AR-0000001900,a071I0000019thEQAQ,a071I000001oKyAQAU
Accounting_Rule__c,&QAQFht9100000I170a,AR-0000001901,a071I0000019thFQAQ,a071I000001oKyBQAU
Accounting_Rule__c,&QAQGht9100000I170a,AR-0000001902,a071I0000019thGQAQ,a071I000001oKyCQAU
Accounting_Rule__c,&QAQHht9100000I170a,AR-0000001903,a071I0000019thHQAQ,a071I000001oKyDQAU
Accounting_Rule__c,&QAQIht9100000I170a,AR-0000001904,a071I0000019thIQAQ,a071I000001oKyEQAU
Accounting_Rule__c,&QAQJht9100000I170a,AR-0000001905,a071I0000019thJQAQ,a071I000001oKyFQAU
Accounting_Rule__c,&QAQKht9100000I170a,AR-0000001906,a071I0000019thKQAQ,a071I000001oKyGQAU
Accounting_Rule__c,&QAQLht9100000I170a,AR-0000001907,a071I0000019thLQAQ,a071I000001oKyHQAU
Accounting_Rule__c,&QAQMht9100000I170a,AR-0000001908,a071I0000019thMQAQ,a071I000001oKyIQAU
Accounting_Rule__c,&QAQNht9100000I170a,AR-0000001909,a071I0000019thNQAQ,a071I000001oKyJQAU
Accounting_Rule__c,&QAQOht9100000I170a,AR-0000001910,a071I0000019thOQAQ,a071I000001oKyKQAU
Accounting_Rule__c,&QAQPht9100000I170a,AR-0000001911,a071I0000019thPQAQ,a071I000001oKyLQAU
Accounting_Rule__c,&QAQKat9100000I170a,AR-0000001482,a071I0000019taKQAQ,a071I000001oKyMQAU
Accounting_Rule__c,&QAQLat9100000I170a,AR-0000001483,a071I0000019taLQAQ,a071I000001oKyNQAU
Accounting_Rule__c,&QAQOat9100000I170a,AR-0000001486,a071I0000019taOQAQ,a071I000001oKyOQAU
Accounting_Rule__c,&QAQPat9100000I170a,AR-0000001487,a071I0000019taPQAQ,a071I000001oKyPQAU
Accounting_Rule__c,&QAQRat9100000I170a,AR-0000001489,a071I0000019taRQAQ,a071I000001oKyQQAU
Accounting_Rule__c,&QAQSat9100000I170a,AR-0000001490,a071I0000019taSQAQ,a071I000001oKyRQAU
Accounting_Rule__c,&QAQVat9100000I170a,AR-0000001493,a071I0000019taVQAQ,a071I000001oKySQAU
Accounting_Rule__c,&QAQWat9100000I170a,AR-0000001494,a071I0000019taWQAQ,a071I000001oKyTQAU
Accounting_Rule__c,&QAQXat9100000I170a,AR-0000001495,a071I0000019taXQAQ,a071I000001oKyUQAU
Accounting_Rule__c,&QAQYat9100000I170a,AR-0000001496,a071I0000019taYQAQ,a071I000001oKyVQAU
